Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,44.0,1.0,44.0,44.0,0.1,2499.0531999999985,0.0,0.0,0.010063648223876953,,,,,,,,,,,,,,,,,,,,,865.3990697815686,809.4547593578084,2465.9049849946155,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,374.0,2.0,330.0,374.0,0.1,19256.003800000002,0.0,0.0,32.625844955444336,,,,,,,,,,,,,,,,,,,,,8521.24589412613,4891.089443876389,16476.930038084516,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,441.0,3.0,67.0,441.0,0.1,3769.0519999999974,0.0,0.0,39.6646249294281,,,,,,,,,,,,,,,,,,,,,1411.7753242662848,1102.6313949959695,3681.8230174861137,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,548.0,4.0,107.0,548.0,0.1,4630.218799999994,0.0,0.0,50.51386260986328,,,,,,,,,,,,,,,,,,,,,1525.9658458596923,1435.1459233582684,4475.887754113484,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,686.0,5.0,138.0,686.0,0.1,8212.053200000004,0.0,0.0,64.20567798614502,,,,,,,,,,,,,,,,,,,,,3436.959595646526,2248.638071660251,7753.251525600457,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1086.0,6.0,400.0,1086.0,0.1,23755.5603,0.0,0.0,103.28161859512329,,,,,,,,,,,,,,,,,,,,,10747.642901799203,5853.230219203206,19495.47459299173,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1256.0,7.0,170.0,1256.0,0.1,11108.003300000011,0.0,0.0,120.38201570510864,,,,,,,,,,,,,,,,,,,,,5246.2607874550695,3237.2482353487367,10236.601933397504,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1331.0,8.0,75.0,1331.0,0.1,5205.202399999998,0.0,0.0,128.04267597198486,,,,,,,,,,,,,,,,,,,,,2131.5680448042003,1619.5996774253229,5055.440622443952,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1822.0,9.0,491.0,1822.0,0.1,26588.81010000003,0.0,0.0,176.4782314300537,,,,,,,,,,,,,,,,,,,,,10689.550859999685,5886.116928154977,21382.9852151853,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,2591.0,10.0,769.0,2591.0,0.1,43142.2093,0.0,0.0,252.4935965538025,,,,,,,,,,,,,,,,,,,,,17521.027206914237,8737.498242058839,29727.965581079534,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,2741.0,11.0,150.0,2741.0,0.1,7305.011099999996,0.0,0.0,267.39141154289246,,,,,,,,,,,,,,,,,,,,,3458.531061177547,2082.3666371975983,6799.824289578236,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,3376.0,12.0,635.0,3376.0,0.1,38085.20949999999,0.0,0.0,330.190318107605,,,,,,,,,,,,,,,,,,,,,15304.932253629064,8650.802644706038,28423.395887324314,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,3954.0,13.0,578.0,3954.0,0.1,37270.26649999993,0.0,0.0,387.6238417625427,,,,,,,,,,,,,,,,,,,,,14069.386880295193,9258.189762564227,29196.52473613695,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,4380.0,14.0,426.0,4380.0,0.1,26985.6526,0.0,0.0,429.4875419139862,,,,,,,,,,,,,,,,,,,,,11468.724111848123,6472.248911575776,22144.242469048328,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,4452.0,15.0,72.0,4452.0,0.1,4666.004099999997,0.0,0.0,436.81993412971497,,,,,,,,,,,,,,,,,,,,,1815.730077334255,1469.8439878612462,4544.35570147919,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,4582.0,16.0,130.0,4582.0,0.1,7156.215799999991,0.0,0.0,449.9435005187988,,,,,,,,,,,,,,,,,,,,,2576.714567440968,2179.1769637514426,6834.905883092979,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,4848.0,17.0,266.0,4848.0,0.1,16371.523599999999,0.0,0.0,476.1209466457367,,,,,,,,,,,,,,,,,,,,,7991.680762409954,4276.564530241271,14274.270784497172,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,5045.0,18.0,197.0,5045.0,0.1,12837.703200000009,0.0,0.0,495.7824614048004,,,,,,,,,,,,,,,,,,,,,5499.69068803133,3589.119901879114,11777.807972595037,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,5216.0,19.0,171.0,5216.0,0.1,10474.35580000002,0.0,0.0,513.03688788414,,,,,,,,,,,,,,,,,,,,,4337.181521678808,3124.8471664048107,9752.192392385305,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
